Epoch,Train_Loss,Train_Conf,Train_Reg,Val_P,Val_R,Val_F1,Val_RadMAE_norm,Time_s
1,0.307889,0.255297,0.026296,0.0631,0.0279,0.0387,0.042013,172.0
2,0.258319,0.208393,0.024963,0.0481,0.0260,0.0338,0.037757,172.6
